artist_name,song_title
Tom Morello: the Nightwatchman,Which Side Are You On? 
Drive-By Truckers,Once They Banned Imagine 
Joss Stone,Governmentalist 
The Wheel Workers,All My Fault 
Neil Young,Let's Impeach The President 
Frank Turner,Thatcher Fucked the Kids 
Bruce Hornsby,The Way It Is 
The Smiths,Meat Is Murder 
Morrissey,Margaret On the Guillotine 
Midnight Oil,Beds Are Burning 
Stevie Wonder,Someday At Christmas 
The Plastic Ono Band,Give Peace A Chance 
Gil Scott-Heron,The Revolution Will Not Be Televised 
Nina Simone,I Wish I Knew How It Would Feel to Be Free 
Nina Simone,Mississippi Goddam 
Propagandhi,"Stick the Fucking Flag up Your Goddamn Ass, You Sonofabitch "
Wyclef Jean,If I Was President 2016 
Will Varley,We Want Our Planet Back 
Oswin Benjamin,White America 
Neil Young,Show Me 
Rage Against The Machine,Sleep Now In the Fire 
Kaptivated,Bliss 
Dick Gaughan,By The People 
The Wakes,No Human Is Illegal 
David Rovics,Henry Ford Was A Fascist 
David Rovics,The Flag Desecration Rag 
Joonas Laine,The Ballad of Julian Assange 
Raye Zaragoza,In the River: A Protest Song 
A Tribe Called Quest,We The People.... 
Jamila Woods,Blk Girl Soldier 
Desaparecidos,MariKKKopa 
Neil Young,Big Box 
A Tribe Called Red,How I Feel 
David Rovics,After The Revolution 
Alter Bridge,Show Me A Leader 
Blind Boy Grunt (Bob Dylan),The Ballad of Donald White 
Jedi Mind Tricks,Uncommon Valor: A Vietnam Story 
Flobots,We Are Winning 
Phil Ochs,I Ain't Marching Anymore 
Will Kimbrough,Pride 
Barbara Dane,I Hate the Capitalist System 
Pennywise,Fuck Authority 
The Last Internationale,Workers of the World Unite! 
Pete Seeger,John Brown's Body 
Todd Snider,"Conservative, Christian, Right Wing Republican, Straight, White, American Males "
Marcel Cartier,Intifada 
NOFX,You're Wrong 
Woody Guthrie,This Land is Your Land 
Tom Morello,Ease My Revolutionary Mind 
Macklemore,Wednesday Morning 
Bell's Roar,Black Lives 
Son Of Nun,It's Like That 
Ryan Harvey,Light in the Morning 
Buffalo Springfield,For What It's Worth 
Akala,Murder Runs the Globe 
All That Remains,Sing For Liberty 
Rob Hustle,Good Cops 
Until The Ribbon Breaks,Revolution Indifference 
Country Joe & The Fish,I
Sting,Russians 
John Lennon,Happy Xmas (War Is Over) 
Hurray For The Riff Raff,Rican Beach 
Ben Harper And The Innocent Criminals,Call It What It Is 
Bill Miller,Reservation Road 
Parker Millsap,Heaven Sent 
Rise Against,Make It Stop (September's Children) 
The Infamous Stringdusters,This Ol' Building 
The Del McCoury Band,Moneyland 
Eddie Vedder,No More 
Steve Earle,Rich Man's War 
Ben Sollee,A Few Honest Words 
Wyclef Jean,Diallo 
DJ Greg Street,I Am Somebody 
Pennywise,Land of the Free? 
D. LYNCH,Ferguson Nights 
Zack De La Rocha,C.I.A. (Criminals In Action) 
Anne Feeney,Have You Been to Jail for Justice? 
Anne Feeney,War on the Workers 
Ryan Harvey,Tea Party 
Ryan Harvey,And We'll Fight Fascists Too 
The Haymarket Squares,Let's Start a Riot 
Alicia Keys,Holy War 
Run The Jewels,Thieves! (Screamed the Ghost) [feat. Tunde Adebimpe] 
Bruce Cockburn,If I Had A Rocket Launcher 
Bob Dylan,George Jackson 
The Airborne Toxic Event,America 
Anaïs Mitchell,Song of the Magi 
Ani DiFranco,Take Down Your Flag 
Ani DiFranco,Which Side Are You On? 
Randy Newman,Mr. President (Have Pity On The Working Man) 
Drive-By Truckers,That Man I Shot 
The Beach Boys,Student Demonstration Time 
cupcakKe,Picking Cotton 
Rhiannon Giddens,Freedom Highway 
Taina Asili y La Banda Rebelde,Freedom 
T.I.,I Believe 
T.I.,Letter To The System 
Beans On Toast,2016
Beans On Toast,The War on War 
Rage Against The Machine,Take The Power Back 
Odessa Kane,Riot 
Barry McGuire,Eve Of Destruction 
David Rovics,The Next Attack 
Peter La Farge,"Hey, Mr. President "
Phil Ochs,Here's To The State Of Mississippi 
Stevie Wonder,You Haven't Done Nothin' 
Rage Against The Machine,Freedom 
The Game,Letter To The King 
Ben Harper,Like A King 
Entrance,Not Gonna Say Your Name 
Spinifex Gum,Ms Dhu 
Bob Dylan,When You Gonna Wake Up 
Flobots,Pray 
Arcade Fire,I Give You Power 
Joey Bada$$,Land of the Free 
Tracy Chapman,Talkin' Bout A Revolution 
Sonic Youth,Youth Against Fascism 
NOFX,We Called It America 
J. Cole,High For Hours 
Public Enemy,Mklvfkwr 
James Newton Howard,The Hanging Tree 
Danbert Nobacon & The Axis of Dissent,Revolution 9.01 
Marilyn Manson,Burning Flag 
Latch Key Kid,Coming Home Soon 
Leonard Cohen,The Partisan 
Rodríguez,"This Is Not a Song, It's An Outburst: Or, the Establishment Blues "
Razzy Bailey,I Hate Hate 
Eminem,Campaign Speech 
Tom Morello: the Nightwatchman,This Land Is Your Land 
Moby,Erupt & Matter 
Rufus Wainwright,Going To A Town 
Insane Clown Posse,Confederate Flag 
Ziggy Marley & The Melody Makers,I Know You Don't Care About Me 
Rage Against The Machine,Wake Up 
David Bowie,This Is Not America 
Jalen Santoy,No Peace 
Bruce Springsteen,American Land 
The Bright Light Social Hour,Tear Down That Wall 
Dixie Chicks,Not Ready to Make Nice 
Depeche Mode,Where's the Revolution 
Bill Fay,"Shame (1,000 Days, 1,000 Songs) "
Rick Bang,Freedom 
Malvina Reynolds,It Isn't Nice 
Prince,"Ronnie, Talk To Russia "
Josh White,Trouble 
David Rovics,Jenin 
Passenger,A Kindly Reminder 
Sheryl Crow,Woman In The White House 
Body Count,No Lives Matter 
Nicki Bluhm,Remember Love Wins 
Phil Haymaker,Make America Great 
David Rovics,God's Gift to the Caliphate 
Nina Simone,Revolution (Pts. 1 and 2) 
Out of System Transfer,I Shot President McKinley (And I'm Gonna Do It Again and Again and Again) 
Taelor Gray,Close 
Holly Miranda,Midnight Oil 
Kate Bush,Breathing 
Joshua Burnside,Red and White Blues 
Pete Seeger,Ballad of Martin Luther King 
Leonard Cohen,Democracy 
The Temptations,Ain't No Justice 
Run The Jewels,"Lie, Cheat, Steal "
Rue Snider,Speak My Mind 
M.I.A.,Paper Planes 
Hollerado,Grief Money 
I.M.,"Hey Child President Donny: An Ode to Donald Trump, America's First Child President "
Wintersleep,Amerika 
Lupe Fiasco,Little Weapon 
Missy Higgins,Oh Canada 
Ani DiFranco,Deportee 
The Honey Drippers,Impeach the President 
First Aid Kit,You are the Problem Here 
Phil Ochs,Draft Dodger Rag 
Yusuf / Cat Stevens,Peace Train 
The Rascals,People Got To Be Free 
David Rovics,International Terrorists 
Mickey Coleman,Pat O'Donnell Shell to Sea 
David Rovics,Saint Patrick Battalion 
John Lennon,Working Class Hero 
Tim O'Brien,John Riley 
Killer Mike,Pressure 
2Pac,Violent 
2Pac,Holler If Ya' Hear Me 
Against Me!,"Baby, I'm an Anarchist! "
AJJ,American Tune 
Akala,Malcolm Said It 
Alabama,Forty Hour Week (For a Livin') 
Breez Evahflowin & Immortal Technique,Land Of The Gun 
Propagandhi,The Only Good Fascist Is A Very Dead Fascist 
Joe Glazer,Workingman Unite 
William Onyeabor,Better Change Your Mind 
Tom Breiding,Union Miner 
Radio Nationals,Black Lung 
Desaparecidos,Radicalized 
Harley Poe,When the Bombs Come Down 
Anti-Flag,Kill the Rich (Re
NOFX,Kill All the White Man 
David Rovics,If Clinton's a Progressive (Live) 
David Rovics,Ballad of Cece McDonald 
K'NAAN,Wavin' Flag 
The Coup,Takin' These 
Hollis Watkins,I'm Gonna Sit at the Welcome Table 
Anti-Flag,Stars and Stripes 
The Chi-Lites,(For God's Sake) Give More Power To The People 
Dre Murray,Paintriot 
Frank Waln,7
Paris,Bush Killa 
Ziggy Marley,See Dem Fake Leaders 
Don Martin,Boikott Israel 
Joan Baez,Saigon Bride 
Mischief Brew,"Thanks, Bastards! "
Old Crow Medicine Show,Union Maid 
Drive-By Truckers,Ramon Casiano 
D.O.A.,Fucked up Donald 
Kate Tempest,Tunnel Vision 
Kate Tempest,Don't Fall In 
Eve Sliber,What About Climate Change 
Link Wray,Ice People 
Mavis Staples,We Shall Not Be Moved 
Sturgill Simpson,Call To Arms 
Joey Bada$$,ROCKABYE BABY 
Somi,Black Enough 
Bambu,Prey'er 
Priests,Usa (Incantations) 
Freddie McGregor,I Am A Revolutionist 
Pretty Girls Make Graves,Parade 
Three Days Grace,Riot 
Phil Ochs,"Love Me, I'm A Liberal "
ANOHNI,Jesus Will Kill You 
Lizzie No,The Killing Season 
Mary Chapin Carpenter,On With The Song 
Braids,Miniskirt 
Netherfriends,Donald Trump Is a Fuck Boy 
Brendan Bonner,Overthrow the Government 
Run The Jewels,A Report to the Shareholders / Kill Your Masters 
Dead Kennedys,Let's Lynch the Landlord 
Lowkey,Home Is Where The Heart Is 
Between The Wars,"I'll Dance On Your Grave, Mrs Thatcher "
The Interrupters,Take Back The Power 
Kopek,Revolution 
Mona Haydar,Hijabi 
Talib Kweli,Sharp Shooters 
The Evens,All These Governors 
Rage Against The Machine,Testify 
Joey Bada$$,Y U DON'T LOVE ME? (MISS AMERIKKKA) 
Joey Bada$$,AMERIKKKAN IDOL 
Joey Bada$$,GOOD MORNING AMERIKKKA 
Maurice Lydell,The Last Words of Alton Sterling 
Jackson Browne,The Drums Of War 
Jackson Browne,Which Side? 
George Michael,Brother Can You Spare a Dime 
John Prine,Your Flag Decal Won't Get You Into Heaven Anymore 
Fischerspooner,We Need A War 
Lynette Williams,Savages 
Joey Bada$$,BABYLON 
Joey Bada$$,SUPER PREDATOR 
Anti-Flag,This Machine Kills Fascists 
Dropkick Murphys,Worker's Song 
Donovan,The War Drags On 
Chumbawamba,The Diggers Song 
Tracy Chapman,Freedom Now 
Anthony D'Amato,If You're Gonna Build A Wall 
Lily Allen,Fuck You 
Dick Gaughan,The World Turned Upside Down 
Frank Turner,Sons Of Liberty 
R.A. The Rugged Man,Learn Truth 
The Temptations,Ball Of Confusion (That's What The World Is Today) 
Gil Scott-Heron,The Train from Washington 
Andy Irvine,Arthur McBride 
Otep,"Equal Rights, Equal Lefts "
Macy Gray,All I Want for Christmas 
Ani DiFranco,Tis of Thee 
Odetta,Another Man Done Gone 
Aha Gazelle,All White Party 
Kendrick Lamar,XXX. FEAT. U2. 
Joey Bada$$,TEMPTATION 
The Clash,White Riot 
StenJoddi,Red Revolution 
Talib Kweli,In The Field 
Against Me!,Transgender Dysphoria Blues 
Nas,Testify 
Leon Rosselson,Where Are the Barricades? 
Dar Williams,I Had No Right 
Cold War Kids,"Locker Room Talk (30 Days, 30 Songs) "
Add-2,Good Mourning Black America 
Papa Roach,American Dreams 
The Specials,Nelson Mandela 
Thi'sl,Tears 
Ambassador,Bombs of Obama 
Dame Drummer,Black and Beautiful 
The Prefab Messiahs,The Man Who Killed Reality 
Sublime,"April 29, 1992 (Miami) "
Levellers,Another Man's Cause 
Brother Ali,Before They Called You White 
Logic,America 
Brother Ali,Dear Black Son 
Lowkey,Dear England 
Woody Guthrie,Jesus Christ 
Woody Guthrie,Tear The Fascists Down 
Phil Ochs,The War Is Over 
Phil Ochs,White Boots Marching In A Yellow Land 
Billy Kelly,This Christian Nation 
Phil Ochs,I'm Going To Say It Now 
Phil Ochs,One More Parade 
Nas,I Want to Talk to You 
David Rovics,London Is Burning 
Bad Cop,Womanarchist 
KRS-One,Sound of da Police 
Propaganda,Darkie 
Flobots,American Dreams 
Rage Against The Machine,People of the Sun 
Rue Snider,One More American 
Ty Law,Letter to Donald Trump 
Public Enemy,By The Time I Get To Arizona 
Railroad Earth,Adding My Voice 
Captain Ska,Liar Liar Ge2017 
She Makes War,I Want My Country Back 
David Ford,It's the Economy Stupid 
Astroid Boys,Foreigners 
Prophets Of Rage,Unfuck The World 
Rise Against,Welcome To The Breakdown 
Jason Isbell and the 400 Unit,White Man's World 
Ice Cube,Good Cop Bad Cop 
Noise Cans,No War 
Hefner,The Day That Thatcher Dies 
Rise Against,How Many Walls 
Muse,Uprising 
Akala,Bullshit 
Elbow,Leaders of the Free World 
The Bible Code Sundays,Trumpets Of Jericho 
Sex Pistols,God Save The Queen 
Rise Against,The Violence 
Plan B,In The Name Of Man 
The Staple Singers,Long Walk To D.C. 
Propaganda,Cynical 
Macklemore & Ryan Lewis,Same Love 
Grace Petrie,God Save The Hungry 
Gogol Bordello,Immigraniada (We Comin' Rougher) 
The The,Heartland 
The Tuts,Give Us Something Worth Voting For 
Ice Cube,I Wanna Kill Sam 
Rage Against The Machine,Know Your Enemy 
Blind Tigers,Demolition Blues 
Algiers,Cleveland 
Dead Prez,Politrikks 
Emmylou Harris,My Name is Emmett Till 
Kabaka Pyramid,No Capitalist 
R.E.M.,It's the End of the World As We Know It (And I Feel Fine) 
Bob Marley & The Wailers,Redemption Song 
Ben Harper,Oppression 
Run The Jewels,Crown 
Gossip,Standing In the Way of Control 
Frankie Goes To Hollywood,Two Tribes 
Billy Bragg,Between the Wars 
Stiff Little Fingers,Alternative Ulster 
Tom Robinson Band,Glad To Be Gay 
James McMurtry,We Can't Make It Here 
Iris DeMent,Wasteland Of The Free 
The Clash,I'm So Bored With the U.S.A. 
NOFX,Murder The Government 
Propaganda,Crooked Ways 
Propaganda,Gentrify 
Propaganda,I Hate Cats 
Propaganda,It's Not Working (The Truth) 
Propaganda,Andrew Mandela 
Frank Waln,Oil 4 Blood 
No Malice,So Woke 
Aceyalone,Ms. Amerikkka 
David Rovics,Democrats Make Me Wanna Vomit 
Grateful Dead,Throwing Stones 
Audioslave,Wide Awake 
Audioslave,Sound Of A Gun 
Deniro Farrar,Black 
Neil Young,Children of Destiny 
Billy Bragg,The Sleep of Reason 
Prophets Of Rage,Living On The 110 
Fit and the Conniptions,Old Blue Witch 
Benjamin Booker,Witness 
Sho Baraka,Pluralism 
Sheer Mag,Expect the Bayonet 
Levellers,Burn America Burn 
Propagandhi,Victory Lap 
Buffy Sainte-Marie,My Country Tis of Thy People 
Devendra Banhart,Heard Somebody Say 
Patti Smith,People Have the Power 
Sturgill Simpson,Sea Stories 
Joshua White,Bad Housing Blues 
Phil Ochs,Ringing Of Revolution 
Yusuf / Cat Stevens,Blackness of the Night 
Prophets Of Rage,Radical Eyes 
Protoje,Blood Money 
Stray From The Path,Goodnight Alt
Rage Against The Machine,Bullet In The Head 
Stray From The Path,The House Always Wins 
Stray From The Path,Badge & A Bullet Pt. II 
Stray From The Path,Badge and A Bullet 
Michael Jackson,We've Had Enough 
Michael Jackson,Scream 
Dead Kennedys,Nazi Punks Fuck Off 
Reconcile,Woke 
Common,A Song For Assata 
Reconcile,Just Another Nigga 
grandson,War 
The Script,Divided States of America 
John Mark McMillan,No Country 
Sly & The Family Stone,Everyday People 
Marvin Gaye,Inner City Blues (Make Me Wanna Holler) 
Atari Teenage Riot,Black Flags 
Prophets Of Rage,Strength In Numbers 
One Day As A Lion,One Day As A Lion 
One Day As A Lion,Ocean View 
One Day As A Lion,Wild International 
One Day As A Lion,If You Fear Dying 
Stephen Marley,Babylon 
Frank Waln,What Made the Red Man Red 
Anti-Flag,Racists 
Prophets Of Rage,Legalize Me 
Prophets Of Rage,Hail To The Chief 
Prophets Of Rage,Take Me Higher 
Prophets Of Rage,Fired A Shot 
Prophets Of Rage,Who Owns Who 
Prophets Of Rage,Hands Up 
Prophets Of Rage,Smashit 
Jack Johnson,My Mind Is For Sale 
The Haymarket Squares,Oligarchy 
The Haymarket Squares,Buy My Vote 
Lecrae,Facts 
Morrissey,Spent the Day in Bed 
Ledisi,Shot Down 
Propagandhi,Comply/Resist 
Victor Oladipo,Rope a Dope 
David Rovics,Song for Chelsea Manning 
David Rovics,Burn It Down 
Phil Ochs,No Christmas In Kentucky 
David Rovics,Letter to My Landlord (Live) 
Phil Ochs,What Are You Fighting For 
Phil Ochs,Too Many Martyrs 
John Lennon,Power To The People 
Rhiannon Giddens,We Rise 
Maren Morris,Dear Hate 
Anaïs Mitchell,Why We Build the Wall 
Anti-Flag,American Attraction 
Anti-Flag,The Criminals 
Talib Kweli,She's My Hero 
