artist_name,song_title
James Blunt,You're Beautiful 
The Goo Goo Dolls,Iris 
Fugees,Killing Me Softly with His Song 
Sixpence None The Richer,Kiss Me 
Boyz II Men,I'll Make Love To You 
Spice Girls,2 Become 1 
Seal,Kiss From A Rose 
98º,I Do (Cherish You) 
The Cardigans,Lovefool 
Oasis,Wonderwall 
Aerosmith,I Don't Want to Miss a Thing 
All-4-One,I Swear 
*NSYNC,This I Promise You 
Backstreet Boys,Shape of My Heart 
Brian McKnight,Back At One 
No Doubt,Don't Speak 
Savage Garden,Truly Madly Deeply 
Jennifer Paige,Crush 
Bryan Adams,(Everything I Do) I Do It For You 
Eagle-Eye Cherry,Save Tonight 
Berlin,Take My Breath Away 
Boyz II Men,End Of The Road 
Destiny's Child,Say My Name 
Lionel Richie,Endless Love 
Céline Dion,The Power Of Love 
Donna Lewis,I Love You Always Forever 
Rod Stewart,All For Love 
Vanessa Williams,Save The Best For Last 
Michael Bolton,When a Man Loves a Woman 
Joe,I Wanna Know 
Lionel Richie,"Say You, Say Me "
All-4-One,I Can Love You Like That 
Foreigner,I Want To Know What Love Is 
Paula Abdul,"Rush, Rush "
Tyrese,Sweet Lady 
Céline Dion,Because You Loved Me 
Deep Blue Something,Breakfast At Tiffany's 
Luther Vandross,Always and Forever 
K-Ci & JoJo,All My Life 
Shania Twain,You're Still The One 
LeAnn Rimes,How Do I Live 
Musiq Soulchild,sobeautiful 
Faith Evans,Come Over 
Maxwell,...Til the Cops Come Knockin' 
D'Angelo,Really Love 
Lalah Hathaway,Angel 
Anita Baker,Sweet Love 
Tamia,Stuck With Me 
Michael Jackson,The Lady in My Life 
Xavier Omär,Blind Man 
Ro James,Burn Slow 
BJ The Chicago Kid,Love Inside 
Luke James,Drip 
H.E.R.,Say It Again 
Quincy Jones,The Secret Garden (Sweet Seduction Suite) 
The O'Jays,Lovin' You 
Mali Music,Loved By You 
Joistarr,Nothing Even Matters 
OutKast,Prototype 
Frank Ocean,Pink + White 
KING,The Greatest 
Janet Jackson,Funny How Time Flies (When You're Having Fun) 
Robin Thicke,Lost Without U 
Anthony Hamilton,I Want You 
Rene & Angela,Your Smile 
Prince,"Do Me, Baby "
Maxwell,Stop the World 
Avery*Sunshine,Sweet Afternoon 
Kenny Lattimore,Stay on Your Mind 
Keith Sweat,Make It Last Forever (with Jacci McGhee) 
Al B. Sure!,Nite And Day 
Levert,Baby I'm Ready 
Josh X,Heaven On My Mind (Ballad) 
After 7,Ready Or Not 
Force M.D.'s,Tender Love 
Whitney Houston,You Give Good Love 
PJ Morton,First Began 
Jill Scott,He Loves Me (Lyzel in E Flat) 
Avery*Sunshine,Heaven Is Right Here 
MAJOR.,Why I Love You 
Tony! Toni! Toné!,Whatever You Want 
Michel'le,Something In My Heart 
Donell Jones,Where I Wanna Be 
Erykah Badu,Next Lifetime 
Blackstreet,Before I Let You Go 
Mint Condition,What Kind Of Man Would I Be 
Luther Vandross,So Amazing 
Tony Terry,With You 
Mary J. Blige,My Life 
Cameo,Sparkle 
Atlantic Starr,Am I Dreaming 
Roanoke,The Light 
Joy Williams,Sweet Love of Mine 
The Woodlands,Sudden Love 
Monica Heldal,Tape 03 
Jill Andrews,I'm so in Love with You 
Isobel Anderson,Waiting For You 
Run Boy Run,Who Should Follow Who? 
Hozier,Someone New 
The Lumineers,Flowers in Your Hair 
Kasey Chambers,Bittersweet 
Ray LaMontagne,Drive
Rosie Carney,Awake Me 
Annalisa Tornfelt,Tired Of Saying Sorry 
Ciaran Lavery,Left for America 
Mumford & Sons,Lovers' Eyes 
The Civil Wars,I Had Me a Girl 
The Daydream Club,Saltwater 
Rayland Baxter,Olivia 
Langhorne Slim,Sea Of Love 
The Ballroom Thieves,Bartering 
Applewood Road,My Love Grows 
John Prine,My Happiness 
Jon Foreman,June & Johnny 
Teddy Thompson,I Thought That We Said Goodbye 
Matt Hartke,Gold 
Jack Savoretti,Sweet Hurt 
Nathaniel Rateliff,Don't Get Too Close 
John Mayer,XO 
Nate Richert,The Girl I Haven't Met 
Desiree Dawson,Wild Heart 
Trampled By Turtles,Winners 
Venus and the Moon,Marry Me 
The Jepettos,What You Said 
Lera Lynn,La Di Da 
The Head and the Heart,Shake 
Nathan Reich,Chandelier Love 
Mazzy Star,Into Dust 
Passenger,The One You love 
Hozier,From Eden 
Beta Radio,White Fawn 
Nathaniel Rateliff,Winded 
Aaron Krause,Drunk on the Heartache 
Laneway,Love Is a Devil 
Mountain Man,Soft Skin 
Anna Barnett,The Future 
Matthew Perryman Jones,I Don't Want to Leave 
Ivan & Alyosha,I Was Born to Love Her 
Bahamas,Whole Wide World 
Alana Henderson,Song About a Song 
J. Tillman,Love No Less Worthy 
Lily & Madeleine,Come To Me 
Noah Gundersen,Cigarettes 
Falls,Girl That I Love 
Night Beds,Ramona 
The Sea The Sea,Restless Heart 
Sumie,Spells You 
Marcus Foster,You My Love 
Ryan Bingham,Until I'm One with You 
The Dø,Song for lovers 
The Vespers,Will You Love Me 
William Fitzsimmons,Passion Play 
Mount Moriah,Social Wedding Rings 
Doug Burr,Do You Hear Wedding Bells (Low Down Version) 
Isbells,Reunite 
Father John Misty,O I Long to Feel Your Arms Around Me 
Of Monsters and Men,Love Love Love 
Roo Panes,Land of the Living 
The Civil Wars,From This Valley 
The Young Folk,Remember When 
Mandolin Orange,There Was A Time 
Jane Ellen Bryant,Lover 
The Tallest Man On Earth,Love Is All 
Delta Rae,If I Loved You 
Jonathan Wilson,Love to Love 
Eastmountainsouth,So Are You To Me 
Valerie June,Somebody To Love 
Luke Sital-Singh,Nothing Stays The Same 
Alela Diane,The Way We Fall 
Hidden Highways,The World Began With a Waltz 
Horse Feathers,A Heart Arcane 
Ben Howard,Only Love 
Foy Vance,At Least My Heart Was Open 
Damien Rice,Lonelily 
Robin Pahlman,Miss Lonelyhearts 
Laura Marling,Little Love Caster 
Devendra Banhart,Won't You Come Over 
Vance Joy,From Afar 
Rachel Sermanni,Eggshells 
Glen Hansard & Marketa Irglova,You Ain't Goin' Nowhere 
The Civil Wars,Tip Of My Tongue 
Craig Cardiff,Heart 
Julia Stone,This Love 
Cathy Davey,In He Comes 
James Vincent McMorrow,Glacier 
Mick Flannery,Do Me Right 
Mic Christopher,Listen Girl 
Mandolin Orange,The Runaround 
Phosphorescent,Song For Zula 
Róisín O,How Long 
Beulah,Hollow 
Griffin House,The Guy That Says Goodbye To You Is Out Of His Mind 
Drew Holcomb & The Neighbors,I Like to Be With Me When I'm With You 
Bear's Den,Sophie 
Leonard Cohen,Suzanne 
Arthur Russell,Maybe She 
Van Morrison,Into The Mystic 
TORRES,Come to Terms 
William Tyler,A Portrait of Sarah 
Ben Sollee,This Will Be Our Year 
Landon Pigg,Falling in Love at a Coffee Shop 
Isobel Anderson,Gentleman 
Ani DiFranco,Both Hands 
The Californian,Cupid 
Mia Maestro,Wedding 
Hozier,Take Me To Church 
Dirty Three,Ember 
Mother Falcon,Just to See Her Smile 
