artist_name,song_title
Kacey Musgraves,Keep It To Yourself 
Kacey Musgraves,Follow Your Arrow 
Kacey Musgraves,Merry Go 'Round 
Kacey Musgraves,I Miss You 
Jason Aldean,Why 
Toby Keith,Missed You Just Right 
Dierks Bentley,In My Head 
James Otto,Let's Just Let Go 
Dustin Lynch,Rock You Sweet 
Jake Owen,Startin' With Me 
Brantley Gilbert,Whenever We're Alone 
Billy Currington,Until You 
Lee Brice,She Ain't Right 
Clay Walker,Fall 
Kenny Chesney,Somewhere With You 
Jason Aldean,Texas Was You 
Lee Brice,Hard To Love 
Lee Brice,A Woman Like You 
Lee Brice,That's When You Know It's Over 
Lee Brice,I Drive Your Truck 
Lee Brice,Friends We Won't Forget 
Dustin Lynch,Hurricane 
Dustin Lynch,Waiting 
Chris Cagle,Thank God She Left The Whiskey 
Keith Whitley,Tell Lorrie I Love Her 
Darius Rucker,I Got Nothin' 
Blake Shelton,Do You Remember 
Blake Shelton,Mine Would Be You 
Blake Shelton,I Found Someone 
Blake Shelton,Frame Of Mine 
Taylor Swift,Ours 
Taylor Swift,Back To December 
Taylor Swift,Forever & Always 
Taylor Swift,White Horse 
Taylor Swift,You're Not Sorry 
Taylor Swift,Teardrops On My Guitar 
Aaron Lewis,Forever 
Kenny Chesney,You Had Me from Hello 
Luke Bryan,Too Damn Young 
Luke Bryan,Crash My Party 
Keith Urban,Stupid Boy 
Brad Paisley,Love Her Like She's Leavin' 
Luke Bryan,I Know You're Gonna Be There 
Brad Paisley,One of Those Lives 
Kip Moore,Everything But You 
Gary Allan,Watching Airplanes 
Jana Kramer,Whiskey 
Casey Donahew,Put the Bottle Down 
Kip Moore,Hey Pretty Girl 
Randy Rogers Band,Had To Give That Up Too 
Randy Rogers Band,Don't Deserve You 
Randy Rogers Band,Too Late For Goodbye 
Jake Owen,The One That Got Away 
Randy Rogers Band,Steal You Away 
Randy Rogers Band,Missing You Is More Than I Can Do 
Randy Rogers Band,One Woman 
Eli Young Band,Say Goodnight 
LeAnn Rimes,He Stopped Loving Her Today 
George Strait,I Got A Car 
George Strait,Love Is Everything 
George Strait,When Love Comes Around Again 
George Strait,When The Credits Roll 
Trace Adkins,Watch The World End 
Mark Chesnutt,When the Lights Go Out (Tracie's Song) 
Dierks Bentley,Settle For A Slowdown 
Luke Bryan,Buzzkill 
Cassadee Pope,Wasting All These Tears 
Lonestar,Just the Rain 
Lonestar,Maybe Someday 
Scotty McCreery,Clear As Day 
Eli Young Band,Drunk Last Night 
Jason Isbell and the 400 Unit,Alabama Pines 
Miranda Lambert,The House That Built Me 
Chris Cagle,Something That Wild 
Cody Johnson,Nobody To Blame 
Keith Anderson,Every Time I Hear Your Name 
Lee Brice,See About A Girl 
Sarah Marince,Can't a Girl Change Her Mind 
Jason Cassidy,You (Wedding Song) 
Jason Cassidy,What If 
Blake Shelton,Goodbye Time 
Randy Rogers Band,In My Arms Instead 
George Strait,The Cowboy Rides Away 
#1 Garth Brooks Tribute Band,What She's Doing Now 
Brad Paisley,Then 
Chris Cagle,Look At What I've Done 
Steve Holy,Radio Up 
Craig Campbell,Outta My Head 
Kenny Chesney,Come Over 
Dustin Lynch,Cowboys and Angels 
Zac Brown Band,Goodbye In Her Eyes 
Brett Eldredge,Mean To Me 
Brett Eldredge,Bring You Back 
Brett Eldredge,Bring You Back 
Brett Eldredge,One Mississippi 
Brett Eldredge,Waited Too Long 
Brett Eldredge,Go On Without Me 
Reckless Kelly,The Last Goodbye 
Austin Webb,Slip On By 
American Young,Love Is War 
Alexandra Lee,You've Got This Hold on Me 
Brad Paisley,Tin Can On a String 
Bobby Wills,A Little More Time 
Tracy Lawrence,Good Girl 
Jerrod Niemann,What Do You Want 
Grace Potter,Stars 
Rosehill,Did You Ever Turn Around 
Love and Theft,If You Ever Get Lonely 
Love and Theft,She's Amazing 
Due West,I Just Wanna Go There 
Dan + Shay,19 You + Me 
Keith Urban,Come Back To Me 
Justin Moore,That's How I Know You Love Me 
Justin Moore,Old Habits 
Chris Young,Goodbye 
Chris Young,Text Me Texas 
Gary Allan,Tough Little Boys 
Alan Jackson,Knew All Along 
Radney Foster and The Confessions,I Made Peace with God 
Lee Ann Womack,Last Call 
Gary Allan,It Ain't The Whiskey 
Randy Rogers Band,Damn The Rain 
George Strait,Run 
Randy Rogers Band,Lonely Too Long 
Josh Abbott Band,Touch 
Ronnie Dunn,Cost Of Livin' 
Ronnie Dunn,Bleed Red 
Randy Rogers Band,If I Told You The Truth 
Eli Young Band,Highways and Broken Hearts 
Emory Quinn,Highways Of Gold 
Randy Rogers Band,Before I Believe It's True 
George Strait,I Saw God Today 
Darius Rucker,I Will Love You Still 
Craig Morgan,What Matters Most 
Chris Young,Flashlight 
Kip Moore,Young Love 
Jake Owen,What We Ain't Got 
The Lost Trailers,How 'Bout You Don't 
Josh Turner,The Longer The Waiting 
Jake Owen,Sure Feels Right 
Lonestar,Everything's Changed 
Lonestar,Tequila Talkin' 
Carrie Underwood,See You Again 
Jason Boland,Somewhere Down in Texas 
Aaron Watson,Lonely Lubbock Lights 
Jerrod Niemann,I Hope You Get What You Deserve 
Brad Paisley,Facebook Friends 
Ryan Broshear,I Don't Mind 
Keith Urban,Tonight I Wanna Cry 
Rascal Flatts,Here Comes Goodbye 
Rascal Flatts,Bless The Broken Road 
Rascal Flatts,Come Wake Me Up 
Rascal Flatts,Easy 
Chris Young,The Man I Want to Be 
Chris Young,Rainy Night In Georgia 
Keith Anderson,I Still Miss You 
Blake Shelton,Suffocating 
Jason Aldean,I Don't Do Lonely Well 
Jerrod Niemann,Only God Could Love You More 
Pat Green,Let Me 
Casey James,Crying on a Suitcase 
Scotty McCreery,The Trouble With Girls 
Corey Smith,I'm Not Gonna Cry 
Tim McGraw,Forget About Us 
Tim McGraw,You Get Used To Somebody 
Clay Walker,Like We Never Said Goodbye 
Jason Aldean,Good To Go 
Hootie & The Blowfish,Let Her Cry 
Taylor Swift,Begin Again 
Hayes Carll,Bad Liver And A Broken Heart 
Craig Morgan,Love Remembers 
Rascal Flatts,What Hurts The Most 
Tim McGraw,Me And Tennessee 
Luke Bryan,Do I 
Luke Bryan,Goodbye Girl 
Tim McGraw,It's Your Love 
Tim McGraw,I Just Love You 
Chris Young,Who I Am With You 
Corey Smith,In Love With A Memory 
Cole Swindell,I Just Want You 
Tracy Lawrence,Lie 
Dallas Smith,Somebody Somewhere 
Lady Antebellum,Need You Now 
Carrie Underwood,Look At Me 
Luke Bryan,Night One 
No Justice,Songs on the Radio 
David Nail,Kiss You Tonight 
Easton Corbin,Clockwork 
Kenny Chesney,I Lost It 
Keith Urban,You'll Think Of Me 
Chuck Wicks,Us Again 
Justin Moore,Lettin' The Night Roll 
Kyle Park,Long Distance Relationship 
Tim McGraw,Please Remember Me 
Kelleigh Bannen,Famous 
Mike Ryan,Dancing All Around It 
Tracy Lawrence,Til I Was a Daddy Too 
Cody Johnson,I Don't Care About You 
Mark McKinney,Lonely Bones 
Brandon Rhyder,Leave 
Josh Turner,Another Try 
Blake Shelton,Don't Make Me 
Chris Young,Drinkin' Me Lonely 
Tim McGraw,Annie I Owe You A Dance 
Luke Bryan,Roller Coaster 
Kip Moore,Dirt Road 
Tyler Farr,A Guy Walks Into a Bar 
Brad Paisley,He Didn't Have to Be 
Trace Adkins,You're Gonna Miss This 
Heartland,I Loved Her First 
Chuck Wicks,Stealing Cinderella 
Kenny Chesney,Don't Blink 
Tim McGraw,Sick Of Me 
Lee Brice,That Don't Sound Like You 
Lee Brice,Love Like Crazy 
Lee Brice,Whiskey Used To Burn 
Lee Brice,That Way Again 
Casey Donahew,Ask Me To Stay 
Tim McGraw,Diamond Rings And Old Barstools 
Lee Brice,Somebody's Been Drinking 
Frankie Ballard,Don't You Wanna Fall 
Rascal Flatts,These Days 
Jason Aldean,Feel That Again 
Blake Shelton,Lonely Tonight 
Jason Aldean,Tryin' to Love Me 
Jason Aldean,Miss That Girl 
Jason Aldean,Don't Change Gone 
Kip Moore,Lead Me 
Mickey Guyton,Better Than You Left Me 
Wade Bowen,West Texas Rain 
Sam Hunt,Make You Miss Me 
Corey Smith,When The Sun Goes Down In Ga 
Corey Smith,From A Distance 
Dierks Bentley,Say You Do 
Scotty McCreery,Forget To Forget You 
Rascal Flatts,Riot 
Brantley Gilbert,One Hell Of An Amen 
Brad Paisley,Remind Me 
Lonestar,I'm Already There 
Eli Young Band,Everything Is You 
Tyler Farr,Withdrawals 
Tyler Farr,Suffer in Peace 
Tyler Farr,I Don't Even Want This Beer 
Jana Kramer,I Got The Boy 
Chris Young,I'm Comin' Over 
Old Dominion,Nowhere Fast 
Billy Currington,It Don't Hurt Like It Used To 
Billy Currington,Wake Me Up 
Luke Bryan,Faded Away 
Darius Rucker,Don't Think I Don't Think About It 
Darius Rucker,It Won't Be Like This for Long 
Cam,Burning House 
Dierks Bentley,Damn These Dreams 
Florida Georgia Line,Like You Ain’t Even Gone 
Aaron Watson,That Look 
Charles Kelley,The Driver 
Thomas Rhett,Die A Happy Man 
Sam Hunt,Break Up In A Small Town 
Chris Stapleton,Tennessee Whiskey 
Logan Brill,Far Cry from You 
Cole Swindell,You Should Be Here 
Chris Stapleton,Whiskey And You 
Chris Stapleton,Fire Away 
Corey Kent White,She Ain't Perfect 
Aoife O'Donovan,Porch Light 
Charles Kelley,Leaving Nashville 
Tim McGraw,Humble And Kind 
Chandler Stephens,Can't Stop Love 
Wynonna,Things That I Lean On 
Eli Young Band,I Love You 
Eric Church,Record Year 
Jennifer Nettles,Unlove You 
Lonestar,Amazed 
Charlie Worsham,Break What's Broken 
Jillian Jacqueline,Kids These Days 
Stephanie Quayle,Drinking With Dolly 
The Civil Wars,I Want You Back (Bonus) 
Jared Wade,Georgia off My Mind 
Read Southall,Moon and Back 
Josh Kelley,It's Your Move 
Lori McKenna,The Time I've Wasted 
Eric Paslay,She Don't Love You 
Kenny Chesney,You and Tequila 
Darius Rucker,If I Told You 
Brad Paisley,Without a Fight 
Emily James,Boy in Memphis 
Josh Abbott Band,Wasn't That Drunk (W/ Carly Pearce) [Act 2] 
Turnpike Troubadours,Come as You Are 
Brad Paisley,She's Everything 
Kady Z,Sittin' at a Rest Stop 
The Morrison Brothers Band,My First Friday Night 
Sam Burchfield,Someday 
Randy Rogers Band,One More Goodbye 
Thomas Rhett,When I Was Your Man 
Randy Rogers Band,Just Don't Tell Me The Truth 
Randy Rogers Band,One More Sad Song 
Randy Rogers Band,She's Gonna Run 
Drive-By Truckers,Goddamn Lonely Love 
Miranda Lambert,Pushin' Time 
Jon Wolfe,I Don't Dance 
Clay Walker,She Won't Be Lonely Long 
Miranda Lambert,Over You 
Justin Moore,If Heaven Wasn’t So Far Away 
Dierks Bentley,Different For Girls 
Little Big Town,Better Man 
Keith Urban,Blue Ain't Your Color 
David Luning,Different Piano Song 
Brett Young,You Ain't Here To Kiss Me 
Brett Young,In Case You Didn't Know 
Zac Brown Band,My Old Man 
Corey Crowder,Leaving You 
Seth Ennis,Woke Up in Nashville 
Little Big Town,When Someone Stops Loving You 
Kelsea Ballerini,Peter Pan 
The Steeldrivers,If It Hadn't Been For Love 
Lady Antebellum,Heart Break 
Maggie Rose,Love Me More 
Dan + Shay,How Not To 
Chris Young,Sober Saturday Night 
Miranda Lambert,Tin Man 
Old Dominion,So You Go 
Thomas Rhett,Marry Me 
Brett Eldredge,Haven't Met You 
Darius Rucker,Don't 
Kelsea Ballerini,High School 
Jerrod Niemann,Comeback 
Chris Young,Where I Go When I Drink 
Tim McGraw,Break First 
Chris Stapleton,Either Way 
Chris Stapleton,I Was Wrong 
Kelsea Ballerini,End of the World 
Mike Ryan,New Hometown 
Sia,Breathe Me 
One Direction,Little Things 
Avril Lavigne,Keep Holding On 
Demi Lovato,Skyscraper 
Labrinth,Beneath Your Beautiful 
Natasha Bedingfield,Wild Horses 
Imagine Dragons,Demons 
Demi Lovato,Fix A Heart 
Avril Lavigne,I'm with You 
Britt Nicole,Safe 
Demi Lovato,For The Love Of A Daughter 
Christina Aguilera,Hurt 
Demi Lovato,Shouldn't Come Back 
Zedd,Clarity 
Demi Lovato,In Case 
Sam Tsui,Bring Me the Night 
Jason Mraz,I Won't Give Up 
Avril Lavigne,Slipped Away 
OneRepublic,Au Revoir 
Demi Lovato,Nightingale 
Ed Sheeran,This 
Birdy,People Help The People 
Parachute,Kiss Me Slowly 
The Goo Goo Dolls,Better Days 
The Fray,Never Say Never 
Ed Sheeran,Kiss Me 
Sleeping At Last,Watermark 
OneRepublic,All We Are 
Demi Lovato,Warrior 
Demi Lovato,Catch Me 
James Arthur,Supposed 
Christina Perri,human 
Imagine Dragons,It's Time 
The Wanted,Heartbreak Story 
Lana Del Rey,Young And Beautiful 
Ed Sheeran,The A Team 
Leona Lewis,Run 
OneRepublic,Secrets 
Snow Patrol,Chasing Cars 
Avril Lavigne,Let Me Go 
The Fray,Over My Head (Cable Car) 
Rob Thomas,Little Wonders 
Florence + The Machine,Never Let Me Go 
Lana Del Rey,Video Games 
Leona Lewis,Broken 
A Great Big World,Say Something 
Jason Reeves,Photographs & Memories. 
Kesha,The Harold Song 
Skylar Grey,Coming Home 
Coldplay,Fix You 
Ellie Goulding,Your Song 
Train,Marry Me 
The Fray,You Found Me 
Kelly Clarkson,Honestly 
John Legend,All of Me 
Kodaline,All I Want 
Jason Walker,Everybody Lies 
Kodaline,Love Like This 
OneRepublic,Come Home 
Skylar Grey,Words 
Coldplay,Yellow 
Jason Mraz,Love Someone 
Ed Sheeran,One 
M83,Wait 
Jason Walker,Echo 
Sara Bareilles,Gravity 
Ed Sheeran,All Of The Stars 
Shawn Mendes,Life Of The Party 
Ed Sheeran,Friends 
Christina Perri,A Thousand Years 
Sigur Rós,Hoppípolla 
Kodaline,High Hopes 
Katy Perry,Thinking Of You 
Sleeping At Last,Chandeliers 
Westlife,Safe 
Birdy,Wings 
Jason Walker,Down 
Shawn Mendes,A Little Too Much 
Original Cast Recording,With You 
Birdy,Not About Angels 
The Fray,How to Save a Life 
Ed Sheeran,Photograph 
Mørland,A Monster Like Me 
Sleeping At Last,Turning Page 
Sam Smith,Lay Me Down 
Daughter,Medicine 
Of Monsters and Men,I Of The Storm 
Lights,Cactus in the Valley 
Parachute,The Mess I Made 
Adam Lambert,There I Said It 
Aquilo,I Gave It All 
Loreen,I'm In It With You 
Aquilo,Losing You 
Aquilo,Waiting 
Labrinth,Jealous 
Jess Glynne,Take Me Home 
Bleachers,Like a River Runs 
Demi Lovato,Wildfire 
Maria Mena,Not Sober 
Shawn Mendes,Running Low 
Wet,These Days 
Aquilo,You There 
Andrew Belle,Make It Without You 
Fleurie,Hurts Like Hell 
Jason Walker,Kiss Me 
Mørland,A Monster Like Me (Feat. The Oslo Philharmonic Choir) 
James Morrison,Broken Strings 
for KING & COUNTRY,Love's To Blame 
Aquilo,Silhouette 
Halsey,Colors 
The Fray,Ungodly Hour 
James Bay,Let It Go 
Aidan Hawken,Walking Blind 
Coldplay,Gravity 
Amber Run,I Found 
Tom Odell,Constellations 
Ina Wroldsen,Lay It On Me 
Meadowlark,Fly 
Alessia Cara,Stone 
Kaitlyn Marie Oliveira,Words Can Hurt 
ELIZA,You and Me 
Tris Day,Bones 
Grace,How To Love Me 
Shawn Mendes,Hold On 
SYML,Where's My Love 
Jaymes Young,Moondust (Stripped) 
Lana Del Rey,Pretty When You Cry 
Tom Odell,True Colours 
JoJo,Music. 
Lauv,The Story Never Ends (Piano Version) 
Adele,When We Were Young 
Aquilo,Sorry 
Tom Odell,Silhouette 
Sam Smith,Leave Your Lover 
Matt Cardle,I Can't Make You Love Me 
Kelly Clarkson,Piece by Piece 
Westlife,I'm Already There 
Aquilo,So Close To Magic 
Years & Years,Both Sides Now 
Aquilo,Blindside 
Aquilo,Almost Over 
Bipolar Sunshine,The Scientist 
Gavin James,Nervous 
Frances,What Is Love? 
Ed Sheeran,How Would You Feel (Paean) 
Ed Sheeran,Save Myself 
KREAM,Taped Up Heart 
Frances,Don't Worry About Me 
Alessia Cara,River Of Tears 
Rihanna,Close To You 
Astrid S,Paper Thin 
Astrid S,Jump 
Selena Gomez,Kill Em With Kindness 
Kris Kross Amsterdam,Are You Sure? 
Aquilo,Sorry 
Ed Sheeran,Happier 
Calum Scott,Dancing On My Own 
Selena Gomez,Only You 
Taylor Swift,Everything Has Changed 
Miley Cyrus,Inspired 
Sia,Free Me 
Jaymes Young,Stone 
Julia Michaels,Don't Wanna Think 
Astrid S,Such A Boy 
Rhys Lewis,Be Your Man 
Sigrid,Dynamite 
Susanne Sundfør,Undercover 
Sam Smith,Too Good At Goodbyes 
Halsey,Sorry 
Bea Miller,yes girl 
Bea Miller,i can't breathe 
Emeli Sandé,Clown 
Calum Scott,You Are The Reason 
