artist_name,song_title
 Cage The Elephant,Whole Wide World - Recorded at Spotify Studios NYC 
 John Mayer,Free Fallin' - Live at the Nokia Theatre 
 Ed Sheeran,Kiss Me 
 Adele,Make You Feel My Love 
 Lauv,Don't Matter - Recorded at Spotify Studios NYC 
 Lily Allen,Somewhere Only We Know 
 Sara Bareilles,Gravity 
 Jason Mraz,I Won't Give Up 
" Jason Mraz, Colbie Caillat",Lucky 
 Ed Sheeran,Thinking Out Loud 
 Snow Patrol,Chasing Cars 
 Train,Marry Me 
 John Legend,Love Me Now - Recorded at Spotify Studios NYC 
 Jessie Ware,Say You Love Me 
 Coldplay,Yellow 
 Jason Mraz,I'm Yours 
 Timeflies,Stuck With Me 
 One Direction,Night Changes 
 The Goo Goo Dolls,Iris 
 Christina Perri,human 
 Charlie Puth,One Call Away 
 Ria Mae,Ooh Love 
 James Bay,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover"" "
 Coldplay,Fix You 
 Sam Smith,Stay With Me 
 Jack Johnson,Better Together 
 Adam Levine,Lost Stars 
 Hozier,Cherry Wine - Live 
 John Mayer,XO 
 Colbie Caillat,Bubbly 
 Katy Perry,The One That Got Away - Acoustic 
 One Direction,Story of My Life 
 Bright Eyes,First Day Of My Life 
 Adele,Lovesong 
 James Blunt,You're Beautiful 
 The Goo Goo Dolls,Iris 
 Fugees,Killing Me Softly with His Song 
 Sixpence None The Richer,Kiss Me 
 Boyz II Men,I'll Make Love To You 
 Spice Girls,2 Become 1 
 Seal,Kiss From A Rose 
 98º,I Do (Cherish You) 
 The Cardigans,Lovefool - Radio Edit 
 Oasis,Wonderwall 
 Aerosmith,I Don't Want to Miss a Thing 
 All-4-One,I Swear 
 *NSYNC,This I Promise You 
 Backstreet Boys,Shape of My Heart 
 Brian McKnight,Back At One 
 No Doubt,Don't Speak 
 Savage Garden,Truly Madly Deeply 
 Jennifer Paige,Crush 
 Bryan Adams,(Everything I Do) I Do It For You 
 Eagle-Eye Cherry,Save Tonight 
 Berlin,"Take My Breath Away - Love Theme from ""Top Gun"" "
 Boyz II Men,End Of The Road 
 Destiny's Child,Say My Name 
" Lionel Richie, Diana Ross",Endless Love 
 Céline Dion,The Power Of Love - Radio Edit 
 Donna Lewis,I Love You Always Forever 
" Rod Stewart, Bryan Adams, Sting",All For Love 
 Vanessa Williams,Save The Best For Last 
 Michael Bolton,When a Man Loves a Woman 
 Joe,I Wanna Know 
 Lionel Richie,"Say You, Say Me "
 All-4-One,I Can Love You Like That 
 Foreigner,I Want To Know What Love Is - Remastered 
 Paula Abdul,"Rush, Rush "
 Tyrese,Sweet Lady 
 Céline Dion,Because You Loved Me 
 Deep Blue Something,Breakfast At Tiffany's 
 Luther Vandross,Always and Forever 
 K-Ci & JoJo,All My Life 
 Shania Twain,You're Still The One 
 LeAnn Rimes,How Do I Live 
 Musiq Soulchild,sobeautiful 
 Faith Evans,Come Over 
 Maxwell,...Til the Cops Come Knockin' 
 D'Angelo,Really Love 
 Lalah Hathaway,Angel - Recorded At Spotify Studios NYC 
 Anita Baker,Sweet Love 
 Tamia,Stuck With Me 
 Michael Jackson,The Lady in My Life 
 Xavier Omär,Blind Man 
 Ro James,Burn Slow 
" BJ The Chicago Kid, Isabella",Love Inside 
 Luke James,Drip 
 H.E.R.,Say It Again 
" Quincy Jones, Barry White, Al B. Sure!, James Ingram, El DeBarge",The Secret Garden (Sweet Seduction Suite) 
 The O'Jays,Lovin' You 
" Mali Music, Jazmine Sullivan",Loved By You 
" Joistarr, PJ Morton",Nothing Even Matters 
 OutKast,Prototype 
 Frank Ocean,Pink + White 
 KING,The Greatest 
 Janet Jackson,Funny How Time Flies (When You're Having Fun) 
 Robin Thicke,Lost Without U 
 Anthony Hamilton,I Want You 
 Rene & Angela,Your Smile 
 Prince,"Do Me, Baby "
 Maxwell,Stop the World 
 Avery*Sunshine,Sweet Afternoon 
 Kenny Lattimore,Stay on Your Mind 
" Keith Sweat, Jacci McGhee",Make It Last Forever (with Jacci McGhee) 
 Al B. Sure!,Nite And Day 
 Levert,Baby I'm Ready 
 Josh X,Heaven On My Mind (Ballad) 
 After 7,Ready Or Not 
 Force M.D.'s,Tender Love 
 Whitney Houston,You Give Good Love 
 PJ Morton,First Began 
 Jill Scott,He Loves Me (Lyzel in E Flat) 
" Avery*Sunshine, Mr. Talkbox",Heaven Is Right Here (feat. Mr. TalkBox) 
 MAJOR.,Why I Love You 
 Tony! Toni! Toné!,Whatever You Want 
 Michel'le,Something In My Heart 
 Donell Jones,Where I Wanna Be 
 Erykah Badu,Next Lifetime 
 Blackstreet,Before I Let You Go 
 Mint Condition,What Kind Of Man Would I Be 
 Luther Vandross,So Amazing 
 Tony Terry,With You 
 Mary J. Blige,My Life 
 Cameo,Sparkle 
 Atlantic Starr,Am I Dreaming 
 Roanoke,The Light 
 Joy Williams,Sweet Love of Mine (Acoustic) 
 The Woodlands,Sudden Love (Acoustic) 
 Monica Heldal,Tape 03 
" Jill Andrews, Seth Avett",I'm so in Love with You (feat. Seth Avett) 
 Isobel Anderson,Waiting For You 
 Run Boy Run,Who Should Follow Who? 
 Hozier,Someone New 
 The Lumineers,Flowers in Your Hair 
" Kasey Chambers, Bernard Fanning",Bittersweet 
 Ray LaMontagne,Drive-In Movies 
 Rosie Carney,Awake Me 
 Annalisa Tornfelt,Tired Of Saying Sorry 
 Ciaran Lavery,Left for America 
 Mumford & Sons,Lovers' Eyes 
 The Civil Wars,I Had Me a Girl - Acoustic 
 The Daydream Club,Saltwater 
 Rayland Baxter,Olivia 
" Langhorne Slim, Jill Andrews",Sea Of Love 
 The Ballroom Thieves,Bartering 
 Applewood Road,My Love Grows 
" John Prine, Fiona Prine",My Happiness (feat. Fiona Prine) 
 Jon Foreman,June & Johnny 
" Teddy Thompson, Kelly Jones",I Thought That We Said Goodbye 
" Matt Hartke, Maggie Peake",Gold 
 Jack Savoretti,Sweet Hurt 
 Nathaniel Rateliff,Don't Get Too Close 
 John Mayer,XO 
 Nate Richert,The Girl I Haven't Met 
 Desiree Dawson,Wild Heart 
 Trampled By Turtles,Winners 
 Venus and the Moon,Marry Me 
 The Jepettos,What You Said 
 Lera Lynn,La Di Da 
 The Head and the Heart,Shake - Spotify Session 
 Nathan Reich,Chandelier Love 
 Mazzy Star,Into Dust 
 Passenger,The One You love (feat. Kate Miller Heidke) 
 Hozier,From Eden 
 Beta Radio,White Fawn 
 Nathaniel Rateliff,Winded 
 Aaron Krause,Drunk on the Heartache 
 Laneway,Love Is a Devil 
 Mountain Man,Soft Skin 
 Anna Barnett,The Future 
 Matthew Perryman Jones,I Don't Want to Leave 
 Ivan & Alyosha,I Was Born to Love Her 
 Bahamas,Whole Wide World 
 Alana Henderson,Song About a Song 
 J. Tillman,Love No Less Worthy 
 Lily & Madeleine,Come To Me 
 Noah Gundersen,Cigarettes 
 Falls,Girl That I Love 
 Night Beds,Ramona 
 The Sea The Sea,Restless Heart 
 Sumie,Spells You 
 Marcus Foster,You My Love 
 Ryan Bingham,Until I'm One with You 
 The Dø,Song for lovers 
 The Vespers,Will You Love Me 
 William Fitzsimmons,Passion Play 
 Mount Moriah,Social Wedding Rings 
 Doug Burr,Do You Hear Wedding Bells (Low Down Version) 
 Isbells,Reunite 
 Father John Misty,O I Long to Feel Your Arms Around Me 
 Of Monsters and Men,Love Love Love 
 Roo Panes,Land of the Living 
 The Civil Wars,From This Valley - Acoustic 
 The Young Folk,Remember When 
 Mandolin Orange,There Was A Time 
 Jane Ellen Bryant,Lover 
 The Tallest Man On Earth,Love Is All 
" Delta Rae, Lindsey Buckingham",If I Loved You (feat. Lindsey Buckingham) 
 Jonathan Wilson,Love to Love 
 Eastmountainsouth,So Are You To Me 
 Valerie June,Somebody To Love 
 Luke Sital-Singh,Nothing Stays The Same 
 Alela Diane,The Way We Fall 
 Hidden Highways,The World Began With a Waltz 
 Horse Feathers,A Heart Arcane 
 Ben Howard,Only Love 
 Foy Vance,At Least My Heart Was Open 
 Damien Rice,Lonelily 
 Robin Pahlman,Miss Lonelyhearts 
 Laura Marling,Little Love Caster 
 Devendra Banhart,Won't You Come Over 
 Vance Joy,From Afar 
 Rachel Sermanni,Eggshells 
" Glen Hansard & Marketa Irglova, Marketa Irglova",You Ain't Goin' Nowhere 
 The Civil Wars,Tip Of My Tongue 
 Craig Cardiff,Heart 
 Julia Stone,This Love 
 Cathy Davey,In He Comes 
 James Vincent McMorrow,Glacier 
 Mick Flannery,Do Me Right 
 Mic Christopher,Listen Girl 
 Mandolin Orange,The Runaround 
 Phosphorescent,Song For Zula 
 Róisín O,How Long 
 Beulah,Hollow 
 Griffin House,The Guy That Says Goodbye To You Is Out Of His Mind 
 Drew Holcomb & The Neighbors,I Like to Be With Me When I'm With You 
 Bear's Den,Sophie 
 Leonard Cohen,Suzanne 
 Arthur Russell,Maybe She 
 Van Morrison,Into The Mystic 
 TORRES,Come to Terms 
 William Tyler,A Portrait of Sarah 
 Ben Sollee,This Will Be Our Year 
 Landon Pigg,Falling in Love at a Coffee Shop 
 Isobel Anderson,Gentleman 
 Ani DiFranco,Both Hands 
" The Californian, Correatown",Cupid 
 Mia Maestro,Wedding 
 Hozier,Take Me To Church 
 Dirty Three,Ember 
 Mother Falcon,Just to See Her Smile 
